SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,Module_Color,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared.name,Stress,TopologicalCoefficient,SNP
308429,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9NQ50,230,1,0,0,0.76065678,false,0,uniprotkb:Q9NQ50,0,0,No
308430,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q7L0Y3,230,1,0,0,0.76065678,false,0,uniprotkb:Q7L0Y3,0,0,No
308431,4.51362984,0.00144321394649105,0.22155118,0.39705882,25,10,false,2,uniprotkb:Q9BU61,29.70588235,25,0,8,0.76575801,false,0,uniprotkb:Q9BU61,621552,0.09752322,No
308432,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9H2W6,230,1,0,0,0.76065678,false,0,uniprotkb:Q9H2W6,0,0,No
308433,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P82912,230,1,0,0,0.76065678,false,0,uniprotkb:P82912,0,0,No
308434,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P09622,230,1,0,0,0.76065678,false,0,uniprotkb:P09622,0,0,No
308435,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q6P087,230,1,0,0,0.76065678,false,0,uniprotkb:Q6P087,0,0,No
308436,4.54973697,4.550950931777e-05,0.21979293,0,2,10,false,2,uniprotkb:Q9HCC0,126,2,0,0,0.76335087,false,0,uniprotkb:Q9HCC0,24314,0.51440329,No
308437,4.51386896,0.000337090992420336,0.22153944,0.63333333,16,10,false,2,uniprotkb:O75306,39.5625,16,0,0,0.76574207,false,0,uniprotkb:O75306,386778,0.12402038,No
308438,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P82664,230,1,0,0,0.76065678,false,0,uniprotkb:P82664,0,0,No
308439,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P49406,230,1,0,0,0.76065678,false,0,uniprotkb:P49406,0,0,No
308440,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P34897,230,1,0,0,0.76065678,false,0,uniprotkb:P34897,0,0,No
308441,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q5ST30,230,1,0,0,0.76065678,false,0,uniprotkb:Q5ST30,0,0,No
308442,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q5T653,230,1,0,0,0.76065678,false,0,uniprotkb:Q5T653,0,0,No
308443,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9H9B4,230,1,0,0,0.76065678,false,0,uniprotkb:Q9H9B4,0,0,No
308444,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:O75127,230,1,0,0,0.76065678,false,0,uniprotkb:O75127,0,0,No
308445,4.53658537,0.000957969985619172,0.22043011,0.54210526,24,10,false,2,uniprotkb:P49821,31.05,24,0,4,0.76422764,false,0,uniprotkb:P49821,605738,0.10197368,No
308446,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q9BYD1,230,1,0,0,0.76065678,false,0,uniprotkb:Q9BYD1,0,0,No
308447,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q8TCS8,230,1,0,0,0.76065678,false,0,uniprotkb:Q8TCS8,0,0,Yes
308448,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:P05091,230,1,0,0,0.76065678,false,0,uniprotkb:P05091,0,0,No
