SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,degree.layout,Eccentricity,IsSingleNode,Module_Color,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared.name,Stress,TopologicalCoefficient,SNP
263333,6.49514563,0,0.15396114,0,1,1,16,false,0,DIP-59967N|refseq:NP_689639|uniprotkb:B2CML4,4,1,0,0,0.78019417,false,0,DIP-59967N|refseq:NP_689639|uniprotkb:B2CML4,0,0,No
263334,5.48593478,3.67135325956576e-06,0.18228434,0.66666667,5,4,15,false,0,DIP-59966N|refseq:NP_660341|uniprotkb:Q8IUX4,5.33333333,4,0,0,0.82056261,false,1,DIP-59966N|refseq:NP_660341|uniprotkb:Q8IUX4,368,0.44444444,No
263335,4.51058003,0,0.22170098,1,2,2,14,false,0,DIP-33720N|uniprotkb:Q13489,126,2,0,0,0.8595768,false,0,DIP-33720N|uniprotkb:Q13489,0,0.51851852,Yes
263336,4.51058003,0,0.22170098,1,4,3,14,false,0,DIP-33486N|uniprotkb:Q96CA5,126,3,0,0,0.8595768,false,1,DIP-33486N|uniprotkb:Q96CA5,0,0.51851852,No
263337,10.25914862,0,0.09747398,1,2,2,21,false,22,DIP-43987N|refseq:NP_006496|uniprotkb:P15151,3,2,0,0,0.62963406,false,0,DIP-43987N|refseq:NP_006496|uniprotkb:P15151,0,0.75,No
263338,5.41175006,0,0.18478311,0,1,1,15,false,0,DIP-57028N|uniprotkb:Q9CW03,14,1,0,0,0.82353,false,0,DIP-57028N|uniprotkb:Q9CW03,0,0,No
263339,5.51356734,0,0.18137078,0,1,1,15,false,0,DIP-32845N|refseq:NP_068741|uniprotkb:Q9HB96,6,1,0,0,0.81945731,false,0,DIP-32845N|refseq:NP_068741|uniprotkb:Q9HB96,0,0,No
263340,5.41175006,0,0.18478311,0,1,1,15,false,0,DIP-56622N|uniprotkb:Q6KCD5,14,1,0,0,0.82353,false,0,DIP-56622N|uniprotkb:Q6KCD5,0,0,No
263341,6.25765497,0,0.15980427,0,1,1,15,false,0,DIP-5133N|refseq:NP_010288|uniprotkb:P41910,12,1,0,0,0.7896938,false,0,DIP-5133N|refseq:NP_010288|uniprotkb:P41910,0,0,No
263342,1,0,1,0,1,1,1,false,-1,DIP-59940N|refseq:NP_001189368|uniprotkb:Q68D85,1,1,0,0,1,false,0,DIP-59940N|refseq:NP_001189368|uniprotkb:Q68D85,0,0,No
263343,1,0,1,0,3,2,1,false,-1,DIP-59939N|uniprotkb:O14931,1,2,0,0,1,false,1,DIP-59939N|uniprotkb:O14931,0,0,No
263344,5.94597959,0.000334595565109081,0.16818087,0,2,2,16,false,0,DIP-38449N|refseq:NP_037393|uniprotkb:Q9UBK2,3.5,2,0,0,0.80216082,false,0,DIP-38449N|refseq:NP_037393|uniprotkb:Q9UBK2,33074,0.5,No
263345,4.94672641,0.00147252420349416,0.20215389,0,6,6,15,false,0,DIP-37952N|uniprotkb:O00482,12,6,0,0,0.84213094,false,0,DIP-37952N|uniprotkb:O00482,183800,0.18032787,No
263346,5.45158078,0,0.18343303,1,2,2,15,false,0,DIP-39799N|refseq:NP_036172|uniprotkb:Q9WTX6,10.5,2,0,0,0.82193677,false,0,DIP-39799N|refseq:NP_036172|uniprotkb:Q9WTX6,0,0.61764706,No
263347,5.31814787,5.57339602980042e-05,0.18803539,0,8,7,15,false,0,DIP-31611N|refseq:NP_003581|uniprotkb:Q13618,8.83333333,7,0,0,0.82727409,false,1,DIP-31611N|refseq:NP_003581|uniprotkb:Q13618,10334,0.25268817,No
263348,4.46925566,0.00220685330258584,0.22375091,0.13888889,9,9,14,false,0,DIP-47029N|refseq:NP_056377|uniprotkb:O94888,35.11111111,9,0,0,0.86122977,false,0,DIP-47029N|refseq:NP_056377|uniprotkb:O94888,456794,0.12460317,Yes
263349,7.21782425,5.96448221136784e-06,0.13854591,0,2,2,17,false,13,DIP-31124N|refseq:NP_002573|uniprotkb:O95453,6.5,2,0,0,0.75128703,false,0,DIP-31124N|refseq:NP_002573|uniprotkb:O95453,1488,0.61111111,Yes
